index,제목,저자,카테고리,판매가격,난이도,출판연도,대출가능,인기도
414,C 포인터 정복,Mike Lee,C,45000,초급,2024,1,1
415,C++ 멀티스레딩,David Jung,C++,15000,입문,2021,1,1
416,C 시스템 프로그래밍,Linda Han,C,32000,전문가,2015,0,0
417,C++ STL 가이드,박지훈,C++,38000,초급,2021,0,1
418,Effective C++,James Kim,C++,30000,중급,2023,0,2
419,WPF 프로그래밍,James Kim,C#,14000,입문,2016,1,0
420,파이썬 데이터 분석,한예린,Python,42000,고급,2015,1,0
421,Java 객체지향,강하늘,Java,20000,중급,2016,1,2
422,열혈 C 프로그래밍,Sarah Park,C,20000,입문,2021,1,2
423,Java 멀티스레딩,박지훈,Java,16000,입문,2018,1,0
424,점프 투 파이썬,Brian Lim,Python,25000,전문가,2022,0,2
425,Flask 웹 개발,최수빈,Python,40000,초급,2022,0,1
426,Java 멀티스레딩,박지훈,Java,16000,입문,2020,1,1
427,C로 배우는 OS,Mike Lee,C,18000,초급,2016,0,1
428,C# 유니티 게임,David Jung,C#,35000,초급,2017,1,1
429,WPF 프로그래밍,오동현,C#,15000,입문,2017,0,0
430,C# LINQ 정복,Sarah Park,C#,40000,중급,2017,0,0
431,열혈 C 프로그래밍,송지아,C,30000,입문,2019,0,0
432,Blazor 웹 개발,Chris Oh,C#,22000,고급,2019,0,2
433,JVM 튜닝,Mike Lee,Java,16000,초급,2022,0,2
434,C# 완벽 가이드,Sarah Park,C#,32000,초급,2021,1,2
435,C 메모리 관리,한예린,C,45000,입문,2015,0,0
436,파이썬 알고리즘,오동현,Python,14000,입문,2021,1,1
437,C# LINQ 정복,Emily Cho,C#,38000,입문,2023,0,0
438,열혈 C 프로그래밍,강하늘,C,15000,전문가,2018,0,0
439,C# 비동기 프로그래밍,Mike Lee,C#,15000,중급,2021,0,2
440,Python 머신러닝,박지훈,Python,40000,입문,2022,0,0
441,C로 배우는 OS,최수빈,C,12000,초급,2015,0,0
442,C++ STL 가이드,Chris Oh,C++,28000,초급,2020,0,2
443,열혈 C 프로그래밍,김민준,C,32000,고급,2019,0,1
444,리눅스 C 프로그래밍,박지훈,C,45000,고급,2023,1,1
445,Python 자동화,Brian Lim,Python,20000,중급,2017,1,2
446,NumPy & Pandas 가이드,최수빈,Python,25000,전문가,2015,0,1
447,Python 머신러닝,이서연,Python,45000,중급,2021,0,0
448,Java의 정석,Amy Song,Java,40000,초급,2020,0,0
449,C++ STL 가이드,임태양,C++,15000,전문가,2020,0,0
450,C# 완벽 가이드,한예린,C#,25000,전문가,2015,1,1
451,Python 자동화,강하늘,Python,30000,중급,2016,1,2
452,Flask 웹 개발,오동현,Python,30000,전문가,2019,0,1
453,C++ STL 가이드,Brian Lim,C++,45000,초급,2023,0,1
454,Java의 정석,Emily Cho,Java,12000,초급,2023,1,2
455,Flask 웹 개발,김민준,Python,38000,중급,2016,0,0
456,ASP.NET Core,Emily Cho,C#,45000,입문,2017,1,0
457,Python 완전 정복,송지아,Python,40000,중급,2022,0,0
458,.NET Core 개발,Chris Oh,C#,18000,고급,2016,0,1
459,C++ 템플릿,송지아,C++,30000,중급,2020,1,2
460,C 알고리즘,David Jung,C,28000,초급,2016,0,1
461,JPA 프로그래밍,최수빈,Java,18000,입문,2017,1,1
462,C++ STL 가이드,Emily Cho,C++,16000,전문가,2020,0,1
463,Effective C++,David Jung,C++,28000,입문,2016,0,0
464,리눅스 C 프로그래밍,이서연,C,22000,중급,2017,0,1
465,Spring Framework,Mike Lee,Java,14000,중급,2019,0,1
466,파이썬 딥러닝,David Jung,Python,25000,입문,2022,0,2
467,스프링 부트 가이드,김민준,Java,14000,초급,2017,0,0
468,C++ STL 가이드,박지훈,C++,28000,입문,2015,0,0
469,JVM 튜닝,정우성,Java,15000,중급,2016,0,1
470,C++ 완전 정복,한예린,C++,40000,고급,2022,0,1
471,C++ 멀티스레딩,한예린,C++,35000,초급,2017,1,0
472,C 시스템 프로그래밍,정우성,C,14000,전문가,2024,0,0
473,C 시스템 프로그래밍,Emily Cho,C,45000,입문,2016,1,0
474,C++ 템플릿,Emily Cho,C++,22000,전문가,2018,0,2
475,C++ STL 가이드,Linda Han,C++,45000,중급,2024,1,1
476,Effective C++,한예린,C++,12000,중급,2024,0,2
477,파이썬 알고리즘,이서연,Python,45000,전문가,2020,0,0
478,스프링 부트 가이드,송지아,Java,25000,중급,2023,0,2
479,JPA 프로그래밍,Mike Lee,Java,35000,초급,2017,0,0
480,C# 비동기 프로그래밍,Sarah Park,C#,12000,중급,2024,0,2
481,ASP.NET Core,Linda Han,C#,30000,초급,2022,0,2
482,Python 완전 정복,송지아,Python,25000,입문,2023,1,1
483,Flask 웹 개발,Rachel Kang,Python,22000,초급,2020,0,2
484,C 언어 본질,김민준,C,18000,전문가,2017,0,0
485,C# 비동기 프로그래밍,박지훈,C#,35000,고급,2024,0,1
486,임베디드 C,James Kim,C,18000,초급,2021,1,2
487,C로 배우는 OS,Amy Song,C,35000,초급,2024,0,1
488,Effective C++,강하늘,C++,18000,초급,2015,1,1
489,C# 완벽 가이드,한예린,C#,32000,전문가,2018,0,1
490,C++ 템플릿,James Kim,C++,15000,초급,2020,1,2
491,스프링 부트 가이드,James Kim,Java,42000,입문,2019,0,0
492,스프링 부트 가이드,Sarah Park,Java,28000,입문,2015,0,0
493,언리얼 엔진 C++,Emily Cho,C++,20000,고급,2022,1,2
494,C 메모리 관리,Mike Lee,C,16000,고급,2024,0,2
495,JVM 튜닝,박지훈,Java,14000,중급,2015,1,1
496,열혈 C 프로그래밍,박지훈,C,32000,초급,2021,0,1
497,파이썬 크롤링,박지훈,Python,32000,전문가,2024,1,1
498,파이썬 딥러닝,한예린,Python,40000,초급,2015,0,0
499,C 포인터 정복,오동현,C,40000,전문가,2023,1,0
